"ID","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"7737194","BODEGA TEXTILES ZAVALA",,"314993","Fabricación de productos textiles reciclados","6 a 10 personas","CALLE","BATALLA DE CASABLANCA","CALLE","16 DE MARZO DE 1861","CALLE","15 DE JUNIO DE 1861","CALLE","BATALLA DE CALPULALPAN","1926",,,,,,"COLONIA","LEYES DE REFORMA 3RA SECCION",,,,"09310","09","CIUDAD DE MÉXICO","007","Iztapalapa","0001","Iztapalapa","0214","007",,,,"Fijo","19.37985352","-99.06415076","2019-11"
"6306377","FABRICACIÓN DE PRODUCTOS TEXTILES RECICLADOS","FAUSTO SUAREZ SA DE CV","314993","Fabricación de productos textiles reciclados","51 a 100 personas","EJE VIAL","5 NORTE (MONTEVIDEO)","CALLE","NORTE 35","PRIVADA","NORTE 27A","CALLE","PONIENTE 134","485",,,,"0",,"COLONIA","LINDAVISTA VALLEJO",,,,"07720","09","CIUDAD DE MÉXICO","005","Gustavo A. Madero","0001","Gustavo A. Madero","0883","001",,"CONTABILIDAD@FAUSTOSUAREZ.COM.MX","WWW.FAUSTOSUAREZ.COM.MX","Fijo","19.49449891","-99.15178319","2010-07"
"8999947","MAQUILADORA DE JERGAS",,"314993","Fabricación de productos textiles reciclados","0 a 5 personas","CALLE","MOCTEZUMA","CALLE","MOCTEZUMA","CALLE","DALIA","CALLE","PINO","41",,,,,,"COLONIA","PUEBLO SANTIAGO ACAHUALTEPEC",,,,"09600","09","CIUDAD DE MÉXICO","007","Iztapalapa","0001","Iztapalapa","2564","001",,,,"Fijo","19.35223388","-99.00549935","2019-11"
"6713341","ROQUE INTERNACIONAL","ROQUE INTERNACIONAL, S.A. DE C.V. ","314993","Fabricación de productos textiles reciclados","0 a 5 personas","CALLE","IGNACIO ALLENDE",,,"OTRO (ESPECIFIQUE)",,,"SELECCIONE UNA OPCIÓN",,,,,"55",,"COLONIA","PUEBLO SAN JUAN DE ARAGON",,,,"07969","09","CIUDAD DE MÉXICO","005","Gustavo A. Madero","0001","Gustavo A. Madero","2127","014",,,,"Fijo","19.467385","-99.08922421","2016-01"
"6862425","SILEMAQ","SILEMAQ SA DE CV","314993","Fabricación de productos textiles reciclados","0 a 5 personas","AVENIDA","CHAPULTEPEC","CALLE","VERSALLES","CALLE","DINAMARCA","CALLE","DINAMARCA","157",,,,"601",,"COLONIA","JUAREZ",,,,"06600","09","CIUDAD DE MÉXICO","015","Cuauhtémoc","0001","Cuauhtémoc","0841","014",,"FABRICIO@DLV.COM.MX",,"Fijo","19.42520792","-99.15704872","2019-04"
"8629315","BODEGA DE PLASTICOS SIN NOMBRE",,"325993","Fabricación de resinas de plásticos reciclados","6 a 10 personas","CALLE","EMILIANO ZAPATA","CALLE","MANUEL ÁVILA CAMACHO","CALLE","NARCISO MENDOZA","AVENIDA","HERMINIO CHAVARRÍA","36","LT 1A",,,,,"COLONIA","ZONA URBANA EJIDAL SANTA MARIA AZTAHUACAN",,,,"09500","09","CIUDAD DE MÉXICO","007","Iztapalapa","0001","Iztapalapa","1091","013","5548704631",,,"Fijo","19.35716885","-99.02936128","2019-11"
"637762","CENTRAL HULERA ALVAREZ",,"325993","Fabricación de resinas de plásticos reciclados","6 a 10 personas","CALLE","PELUQUEROS","CALLE","CARPINTERIA","AVENIDA","FERROCARRIL DE CINTURA","CALLE","PANADEROS","67",,,,"0",,"COLONIA","MORELOS",,,,"15270","09","CIUDAD DE MÉXICO","017","Venustiano Carranza","0001","Venustiano Carranza","0210","002",,,,"Fijo","19.44712282","-99.12192094","2010-07"
"822478","DEFORX","DEFORX SA DE CV","325993","Fabricación de resinas de plásticos reciclados","6 a 10 personas","CALLE","NAUTLA","CALLE","SIN REFERENCIA","AVENIDA","SAN LORENZO","CALLE","ESTRELLA","64",,,,"6",,"COLONIA","SAN JUAN XALPA",,,,"09850","09","CIUDAD DE MÉXICO","007","Iztapalapa","0001","Iztapalapa","2831","045",,"INFO@DEFORX.COM",,"Fijo","19.33378191","-99.07537836","2010-07"
"835030","ELABORACIÓN DE PLASTICOS",,"325993","Fabricación de resinas de plásticos reciclados","0 a 5 personas","CALLE","PINO SUAREZ","CALLE","CAMINO REAL A ZAPOTITLAN","CALLE","MOCTEZUMA","CALLE","IZTAPALAPA",,"SN",,,,,"COLONIA","LA POLVORILLA",,,,"09750","09","CIUDAD DE MÉXICO","007","Iztapalapa","0001","Iztapalapa","5380","016",,,,"Fijo","19.31588715","-99.04123919","2010-07"
"8631687","FABRICA DE PLASTICOSSIN NOMBRE",,"325993","Fabricación de resinas de plásticos reciclados","6 a 10 personas","CALLE","DOCTOR FRANCISCO CABRERA","CALLE","PALMAS","AVENIDA","ADALBERTO TEJEDA","CALLE","CANARIAS",,"SN",,,,,"COLONIA","GRANJAS CABRERA",,,,"13230","09","CIUDAD DE MÉXICO","011","Tláhuac","0001","Tláhuac","0058","016",,,,"Fijo","19.30093033","-99.0637279","2019-11"
